,group,regulation_dir,count,cell_type
13,Canertinib dihydrochloride,Up,76,MAIT
14,Erlotinib,Down,4,MAIT
15,Erlotinib,Up,0,MAIT
16,Erlotinib hydrochloride,Down,10,MAIT
17,Erlotinib hydrochloride,Up,3,MAIT
18,Gefitinib,Down,17,MAIT
19,Gefitinib,Up,0,MAIT
20,Gefitinib hydrochloride,Down,0,MAIT
21,Gefitinib hydrochloride,Up,0,MAIT
22,NVP-BSK805,Down,5,MAIT
23,NVP-BSK805,Up,12,MAIT
24,NVP-BSK805 2HCl,Down,2,MAIT
25,NVP-BSK805 2HCl,Up,15,MAIT
26,Ruxolitinib,Down,6,MAIT
27,Ruxolitinib,Up,21,MAIT
28,Ruxolitinib phosphate,Down,18,MAIT
29,Ruxolitinib phosphate,Up,53,MAIT
30,Tofacitinib citrate,Down,0,MAIT
31,Tofacitinib citrate,Up,0,MAIT
32,Tofacitinib,Down,0,MAIT
33,Tofacitinib,Up,0,MAIT
0,IL-6 control,Down,1,CD8 Effector Memory
1,IL-6 control,Up,0,CD8 Effector Memory
2,Afatinib,Down,106,CD8 Effector Memory
3,Afatinib,Up,88,CD8 Effector Memory
4,Afatinib dimaleate,Down,99,CD8 Effector Memory
5,Afatinib dimaleate,Up,117,CD8 Effector Memory
6,Baricitinib,Down,77,CD8 Effector Memory
7,Baricitinib,Up,54,CD8 Effector Memory
8,Baricitinib phosphate,Down,63,CD8 Effector Memory
9,Baricitinib phosphate,Up,62,CD8 Effector Memory
10,Canertinib,Down,235,CD8 Effector Memory
11,Canertinib,Up,214,CD8 Effector Memory
12,Canertinib dihydrochloride,Down,218,CD8 Effector Memory
13,Canertinib dihydrochloride,Up,210,CD8 Effector Memory
14,Erlotinib,Down,65,CD8 Effector Memory
15,Erlotinib,Up,29,CD8 Effector Memory
16,Erlotinib hydrochloride,Down,57,CD8 Effector Memory
17,Erlotinib hydrochloride,Up,59,CD8 Effector Memory
18,Gefitinib,Down,38,CD8 Effector Memory
19,Gefitinib,Up,21,CD8 Effector Memory
20,Gefitinib hydrochloride,Down,16,CD8 Effector Memory
21,Gefitinib hydrochloride,Up,10,CD8 Effector Memory
22,NVP-BSK805,Down,73,CD8 Effector Memory
23,NVP-BSK805,Up,110,CD8 Effector Memory
24,NVP-BSK805 2HCl,Down,54,CD8 Effector Memory
25,NVP-BSK805 2HCl,Up,92,CD8 Effector Memory
26,Ruxolitinib,Down,65,CD8 Effector Memory
27,Ruxolitinib,Up,72,CD8 Effector Memory
28,Ruxolitinib phosphate,Down,142,CD8 Effector Memory
29,Ruxolitinib phosphate,Up,179,CD8 Effector Memory
30,Tofacitinib citrate,Down,1,CD8 Effector Memory
31,Tofacitinib citrate,Up,0,CD8 Effector Memory
32,Tofacitinib,Down,3,CD8 Effector Memory
33,Tofacitinib,Up,0,CD8 Effector Memory
