,group,names,scores,logfoldchanges,pvals,pvals_adj,cell_type,abs_logfoldchanges
17297,Ruxolitinib phosphate,ACAT2,0.58002305,0.34635508,0.561899093729924,0.6840510706277335,CD4 Effector Memory,0.34635508
17298,Ruxolitinib phosphate,GABPB1,0.56885946,-0.036927525,0.5694515189732269,0.6911488193989569,CD4 Effector Memory,0.036927525
17299,Ruxolitinib phosphate,TOMM70,0.5667647,-0.08111114,0.5708740334483192,0.6921775793270658,CD4 Effector Memory,0.08111114
17300,Ruxolitinib phosphate,RUNX1,0.5568813,-0.21538691,0.5776085427718933,0.6968343542057711,CD4 Effector Memory,0.21538691
17301,Ruxolitinib phosphate,FRYL,0.54876006,-0.18649922,0.583170120226757,0.7000367146091878,CD4 Effector Memory,0.18649922
17302,Ruxolitinib phosphate,IRF8,0.5229334,0.3032731,0.6010205863205671,0.7155162710526497,CD4 Effector Memory,0.3032731
17303,Ruxolitinib phosphate,AKAP8L,0.5223682,-0.014362739,0.6014140085592039,0.7155162710526497,CD4 Effector Memory,0.014362739
17304,Ruxolitinib phosphate,UBR7,0.5142968,-0.0068428894,0.607044476636946,0.7197779264558692,CD4 Effector Memory,0.0068428894
17305,Ruxolitinib phosphate,LAGE3,0.5073809,0.22352886,0.6118875774524806,0.7236862900322069,CD4 Effector Memory,0.22352886
17306,Ruxolitinib phosphate,KDM5B,0.5056436,-0.04422996,0.6131068558541581,0.7244167364557472,CD4 Effector Memory,0.04422996
17307,Ruxolitinib phosphate,NUSAP1,0.49890226,0.32072264,0.6178482441134249,0.7293032214829054,CD4 Effector Memory,0.32072264
17308,Ruxolitinib phosphate,IL18R1,0.49589318,0.019356912,0.6199697880046386,0.7310907196450391,CD4 Effector Memory,0.019356912
17309,Ruxolitinib phosphate,NOSIP,0.48916844,-0.006775594,0.624722458094773,0.7352549751183839,CD4 Effector Memory,0.006775594
17310,Ruxolitinib phosphate,RXRA,0.48024923,-0.029602451,0.6310501925893834,0.7398095733959276,CD4 Effector Memory,0.029602451
17311,Ruxolitinib phosphate,KDM3A,0.47596002,-0.20368576,0.6341028623801668,0.7422553289255265,CD4 Effector Memory,0.20368576
17312,Ruxolitinib phosphate,ADO,0.44018343,0.13415688,0.6598042632276251,0.7660601088968761,CD4 Effector Memory,0.13415688
17313,Ruxolitinib phosphate,KDM5A,0.41669255,-0.09278308,0.6769032912458177,0.7838639767007979,CD4 Effector Memory,0.09278308
17314,Ruxolitinib phosphate,FKBP4,0.4128273,0.13485406,0.679733148801984,0.7852490676026803,CD4 Effector Memory,0.13485406
17315,Ruxolitinib phosphate,TGFBI,0.40011764,0.2628581,0.6890698784176666,0.7917398193658517,CD4 Effector Memory,0.2628581
17316,Ruxolitinib phosphate,PDIA4,0.38478956,0.19766003,0.7003933374991805,0.8023535474300793,CD4 Effector Memory,0.19766003
17317,Ruxolitinib phosphate,MSC,0.38376713,0.36489403,0.7011510523000479,0.8024580484498648,CD4 Effector Memory,0.36489403
17318,Ruxolitinib phosphate,IL1RAP,0.37479806,0.1304602,0.7078106684180495,0.808542736978493,CD4 Effector Memory,0.1304602
17319,Ruxolitinib phosphate,IQGAP1,0.36782393,-0.21054481,0.7130045193942876,0.8129331830972748,CD4 Effector Memory,0.21054481
17320,Ruxolitinib phosphate,MPZL1,0.3634267,0.28553343,0.7162861787310788,0.8151309633196775,CD4 Effector Memory,0.28553343
17321,Ruxolitinib phosphate,TICAM1,0.34423333,-0.0099288225,0.7306708182104762,0.826035366314942,CD4 Effector Memory,0.0099288225
17322,Ruxolitinib phosphate,MCM2,0.32450798,0.25720665,0.7455534722355577,0.8381385439510844,CD4 Effector Memory,0.25720665
17323,Ruxolitinib phosphate,C1QBP,0.30249673,0.039427955,0.7622734158387818,0.8493392602321076,CD4 Effector Memory,0.039427955
17324,Ruxolitinib phosphate,ERO1A,0.30210605,-0.13764055,0.7625712128828143,0.8493392602321076,CD4 Effector Memory,0.13764055
17325,Ruxolitinib phosphate,G2E3,0.297102,-0.037919916,0.76638864355478,0.8528021504990343,CD4 Effector Memory,0.037919916
17326,Ruxolitinib phosphate,CAB39,0.28479132,-0.2669472,0.7758040228146746,0.862482034597293,CD4 Effector Memory,0.2669472
17327,Ruxolitinib phosphate,COG7,0.26325387,-0.030589364,0.7923549065799228,0.8755718193616143,CD4 Effector Memory,0.030589364
17328,Ruxolitinib phosphate,TXNL4B,0.26284656,-0.0031903936,0.792668839787508,0.8755718193616143,CD4 Effector Memory,0.0031903936
17329,Ruxolitinib phosphate,BACH2,0.25136715,-0.101874664,0.8015302724049803,0.8837385054721578,CD4 Effector Memory,0.101874664
17330,Ruxolitinib phosphate,CD46,0.24895655,-0.22475475,0.8033943989653088,0.8849834001411088,CD4 Effector Memory,0.22475475
17331,Ruxolitinib phosphate,TRAF6,0.241226,-0.12581852,0.8093799581633586,0.8907618552364568,CD4 Effector Memory,0.12581852
17332,Ruxolitinib phosphate,CGRRF1,0.22240672,-0.029103417,0.8239972828998708,0.9010833139068524,CD4 Effector Memory,0.029103417
17333,Ruxolitinib phosphate,PDLIM1,0.20937286,0.15825829,0.8341571731438606,0.9096552351624207,CD4 Effector Memory,0.15825829
17334,Ruxolitinib phosphate,IL7,0.1953249,0.111108415,0.845138604353619,0.9159488105312821,CD4 Effector Memory,0.111108415
17335,Ruxolitinib phosphate,DNAJB2,0.19481784,-0.09623577,0.8455355522785517,0.9159488105312821,CD4 Effector Memory,0.09623577
17336,Ruxolitinib phosphate,GPC1,0.19330499,0.15070431,0.8467201213632201,0.9159488105312821,CD4 Effector Memory,0.15070431
17337,Ruxolitinib phosphate,KDELR2,0.18800998,0.07433235,0.8508688244635111,0.9187857082099258,CD4 Effector Memory,0.07433235
17338,Ruxolitinib phosphate,CENPE,0.18665506,0.11396881,0.8519310919672424,0.9191084540578494,CD4 Effector Memory,0.11396881
17339,Ruxolitinib phosphate,KIF5C,0.17530032,0.07746844,0.8608436631269307,0.9271186756777028,CD4 Effector Memory,0.07746844
17340,Ruxolitinib phosphate,PLSCR1,0.17523381,0.10016501,0.8608959131292955,0.9271186756777028,CD4 Effector Memory,0.10016501
17341,Ruxolitinib phosphate,AKT2,0.16920732,-0.14890295,0.8656335696665646,0.9297259749139551,CD4 Effector Memory,0.14890295
17342,Ruxolitinib phosphate,CHIC2,0.16647254,-0.29846498,0.867785089979197,0.9303768907702166,CD4 Effector Memory,0.29846498
17343,Ruxolitinib phosphate,POLR1C,0.15998055,0.09671343,0.8728963930490548,0.9308833102135181,CD4 Effector Memory,0.09671343
17344,Ruxolitinib phosphate,ATP2C1,0.15801883,-0.11859308,0.8744419643036252,0.9311265698249405,CD4 Effector Memory,0.11859308
17345,Ruxolitinib phosphate,PDIA6,0.15376288,-0.026129272,0.877796707748777,0.932807524815875,CD4 Effector Memory,0.026129272
17346,Ruxolitinib phosphate,LAIR2,0.1531062,0.071161196,0.8783145312348677,0.932807524815875,CD4 Effector Memory,0.071161196
17347,Ruxolitinib phosphate,PAK4,0.15081197,0.07996921,0.8801240433478688,0.932807524815875,CD4 Effector Memory,0.07996921
