,,group,reference,name,stat,meanchange,pval,padj,cell_type
CD4 Naive,63,Ruxolitinib phosphate,DMSO control,Estrogen,6.733953528041338,0.08324366836633512,1.6511393352789086e-11,2.88949383673809e-11,CD4 Naive
CD4 Naive,64,Ruxolitinib phosphate,DMSO control,NFkB,-5.4197980769032545,-0.08057043223123195,5.966638882050788e-08,9.281438260967892e-08,CD4 Naive
CD4 Naive,65,Ruxolitinib phosphate,DMSO control,p53,-2.2600476720967277,-0.030732172947795844,0.02381829228192549,0.03334560919469569,CD4 Naive
CD4 Naive,66,Ruxolitinib phosphate,DMSO control,WNT,2.177113026715841,0.01954971810299644,0.029472135344769772,0.037509990438797894,CD4 Naive
CD4 Naive,67,Ruxolitinib phosphate,DMSO control,VEGF,1.9072575686054236,0.026833799555447957,0.056487241931148124,0.06590178225300615,CD4 Naive
CD4 Naive,68,Ruxolitinib phosphate,DMSO control,Hypoxia,0.8759488089917801,0.016398004418150647,0.3810578635657855,0.41037000691699976,CD4 Naive
CD4 Naive,69,Ruxolitinib phosphate,DMSO control,Androgen,-0.6823376752624678,-0.007563761412962666,0.4950254552767772,0.4950254552767772,CD4 Naive
CD4 Naive,70,Gefitinib hydrochloride,DMSO control,JAK-STAT,43.41310804538464,0.6873493674456492,0.0,0.0,CD4 Naive
CD4 Naive,71,Gefitinib hydrochloride,DMSO control,EGFR,43.35237893291144,0.6521112135861737,0.0,0.0,CD4 Naive
CD4 Naive,72,Gefitinib hydrochloride,DMSO control,Estrogen,41.305796947821804,0.5413112535651603,0.0,0.0,CD4 Naive
CD4 Naive,73,Gefitinib hydrochloride,DMSO control,MAPK,38.956985716937545,0.5284362863264593,0.0,0.0,CD4 Naive
CD4 Naive,74,Gefitinib hydrochloride,DMSO control,Androgen,29.540890979258663,0.40819701118939067,8.597818324300256e-192,2.4073891308040715e-191,CD4 Naive
CD4 Naive,75,Gefitinib hydrochloride,DMSO control,VEGF,28.27919350641607,0.39498920661062176,6.2302685724011996e-176,1.45372933356028e-175,CD4 Naive
CD4 Naive,76,Gefitinib hydrochloride,DMSO control,PI3K,27.541247177976242,0.4196563736810247,5.633733130836387e-167,1.1267466261672773e-166,CD4 Naive
CD4 Naive,77,Gefitinib hydrochloride,DMSO control,Hypoxia,-22.97523320991552,-0.4270407242074805,8.245698219922155e-117,1.442997188486377e-116,CD4 Naive
CD4 Naive,78,Gefitinib hydrochloride,DMSO control,TGFb,16.631823655370948,0.15996243109330466,4.099251591051176e-62,6.376613586079608e-62,CD4 Naive
CD4 Naive,79,Gefitinib hydrochloride,DMSO control,WNT,-8.694944471142987,-0.0738125755002752,3.4699944477933005e-18,4.85799222691062e-18,CD4 Naive
CD4 Naive,80,Gefitinib hydrochloride,DMSO control,p53,-8.12674277588527,-0.10112998103619142,4.4097978732134485e-16,5.61247002045348e-16,CD4 Naive
CD4 Naive,81,Gefitinib hydrochloride,DMSO control,NFkB,7.53112264443843,0.10773335223178371,5.0305908831552796e-14,5.869022697014494e-14,CD4 Naive
CD4 Naive,82,Gefitinib hydrochloride,DMSO control,TNFa,-6.923631782754078,-0.11024478486580636,4.402092440701003e-12,4.7407149361395415e-12,CD4 Naive
CD4 Naive,83,Gefitinib hydrochloride,DMSO control,Trail,-0.5626862316865595,0.002796404540308939,0.5736485613223279,0.5736485613223279,CD4 Naive
