,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type,drug,comparison,gene_set
1,prerank,TNF-alpha Signaling via NF-kB,0.5671892386326778,1.8322465657932279,0.0,0.008458192363460609,0.013,41/75,22.70%,FOS;DUSP1;BCL6;ICAM1;NAMPT;MYC;FOSL2;TLR2;IFIH1;ATF3;CD69;JUNB;STAT5A;FOSB;NFIL3;ZFP36;GADD45A;F2RL1;RELB;CD83;NFE2L2;IL15RA;BHLHE40;NFKBIA;IL6ST;IRF1;CD80;IFIT2;CEBPB;FOSL1;GADD45B;TAP1;CEBPD;NFKB2;RIPK2;TGIF1;REL;TANK;CDKN1A;TNFRSF9;CSF1,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
2,prerank,IL-2/STAT5 Signaling,0.5649130105996863,1.744720569402818,0.0012121212121212121,0.025157700363113607,0.057,20/59,12.94%,BATF;IL2RB;MUC1;PLSCR1;IRF8;MYC;SOCS1;CCND2;ICOS;IFNGR1;IL2RA;NFIL3;TNFRSF4;SELL;CD83;BHLHE40;TNFSF10;IL18R1;SOCS2;ITGA6,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
3,prerank,IL-6/JAK/STAT3 Signaling,0.6114322746933822,1.7298138747177327,0.0040595399188092015,0.02309737145406551,0.067,14/34,13.65%,STAT3;SOCS1;FAS;STAT1;TLR2;PTPN1;IFNGR1;IL2RA;STAT2;IL15RA;IL18R1;MYD88;IL6ST;IRF1,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
4,prerank,Interferon Alpha Response,0.5985728332470781,1.70486100281946,0.007863695937090432,0.026545711417630218,0.094,20/34,18.17%,PLSCR1;MX1;IFITM2;IFI35;IFIH1;IRF7;CASP8;SELL;UBE2L6;ISG15;STAT2;LAP3;LAMP3;IRF1;IFIT2;HERC6;PSME2;IL15;BST2;TAP1,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
5,prerank,Fatty Acid Metabolism,0.6247302391910732,1.6561978078607746,0.007204610951008645,0.0355677832719882,0.146,10/22,18.33%,CBR1;ACAT2;UBE2L6;HADH;NSDHL;MIF;BPHL;ACAA1;CBR3;HMGCS1,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
6,prerank,UV Response Up,0.558069681442425,1.615980381589543,0.010610079575596816,0.04870431646652043,0.227,14/34,18.17%,FOS;ICAM1;ATF3;TFRC;JUNB;FOSB;SLC25A4;NFKBIA;RAB27A;IL6ST;IRF1;ACAA1;DNAJB1;TAP1,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
7,prerank,Adipogenesis,0.5914722904830285,1.5813014195306672,0.025899280575539568,0.06002063427148009,0.3,7/23,11.51%,BCL6;IFNGR1;STAT5A;CAT;GADD45A;SLC5A6;HADH,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
8,prerank,Xenobiotic Metabolism,0.5534043837222226,1.5112177367170923,0.03486750348675035,0.10091997042214539,0.479,8/26,18.97%,IRF8;FAS;CBR1;CAT;BPHL;TNFRSF1A;TMEM97;ABHD6,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
9,prerank,p53 Pathway,0.4778673182092057,1.4577248271465202,0.046511627906976744,0.1500353199241551,0.659,20/51,22.30%,FOS;NOTCH1;SOCS1;DDIT4;FAS;CCND2;ATF3;DDB2;GADD45A;CTSD;TP53;RALGDS;RAD9A;CCP110;CD81;TAP1;PCNA;HRAS;CDKN1A;MAPKAPK3,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
10,prerank,Unfolded Protein Response,0.5339668616471536,1.4220745004217614,0.0644718792866941,0.1764982238641011,0.761,8/25,17.94%,MTHFD2;DDIT4;ATF3;IFIT1;NOLC1;CEBPB;ERO1A;EXOSC4,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
11,prerank,Hypoxia,0.47678852967204133,1.414114419555934,0.057951482479784364,0.17079042272372383,0.776,11/43,7.14%,FOS;DUSP1;DDIT4;FOSL2;HK1;ATF3;GLRX;GAA;NFIL3;ZFP36;EXT1,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
12,prerank,mTORC1 Signaling,0.46126811575563764,1.395732816469346,0.04671717171717172,0.18007441493332113,0.815,29/50,32.86%,MTHFD2;NAMPT;TXNRD1;DDIT4;GLRX;TFRC;NFIL3;HSPD1;BHLHE40;ERO1A;HMGCS1;TMEM97;ITGB2;CDKN1A;LGMN;SLC37A4;UNG;ATP6V1D;NFKBIB;HPRT1;EDEM1;SQSTM1;PSMG1;GPI;MCM2;EBP;HMGCR;PGM1;AURKA,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
13,prerank,Inflammatory Response,0.43337639972531605,1.356512696164802,0.05925925925925926,0.22065657880060974,0.893,20/57,17.46%,IL2RB;ICAM1;NAMPT;MYC;OSM;TLR2;IRF7;CD69;SELL;IL15RA;TNFSF10;NFKBIA;IL18R1;LAMP3;LTA;IRF1;SLC11A2;HIF1A;IL15;BST2,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
