,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type,comparison,gene_set
34,prerank,IL-2/STAT5 Signaling,-0.20142849660014284,-0.6344686643350582,0.9640287769784173,1.0,1.0,23/62,42.71%,IL18R1;IKZF2;RNH1;TNFSF10;IL3RA;IFITM3;TNFRSF18;IGF2R;CTLA4;PRAF2;TNFRSF4;IL4R;TIAM1;ABCB1;PLSCR1;PRKCH;NCOA3;EOMES;CD81;CST7;NFIL3;CCND2;CCR4,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
35,prerank,UV Response Up,-0.21599904165079306,-0.6322661686569744,0.9445048966267682,0.9995651903844959,1.0,3/35,7.93%,CDK2;POLG2;PARP2,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
36,prerank,Myc Targets V1,-0.2056706125668239,-0.5632119178574866,0.9631284916201117,1.0,1.0,8/24,37.47%,CDK2;RNPS1;SMARCC1;VDAC1;CDK4;MCM6;PWP1;HDAC2,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
37,prerank,TNF-alpha Signaling via NF-kB,-0.15790505492328455,-0.5125192370717695,0.9948875255623721,0.9898684323182739,1.0,8/79,14.29%,VEGFA;PLAUR;FOSL2;TNFSF9;TNF;IER3;DUSP4;F2RL1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
0,prerank,Glycolysis,0.42629867237458036,1.5747524710629124,0.008620689655172414,0.4005062160351373,0.222,14/40,14.96%,IGFBP3;HMMR;GNPDA1;NT5E;CDK1;FKBP4;ISG20;AURKA;STMN1;NSDHL;GLRX;G6PD;MIF;IER3,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
1,prerank,Interferon Alpha Response,0.42731932431942465,1.5166175796824801,0.024930747922437674,0.2925630908955557,0.308,14/36,19.97%,LAMP3;OAS1;PSME2;TXNIP;ISG20;SELL;ISG15;PSMB9;UBE2L6;IFITM2;ELF1;MX1;IFIT2;IFI35,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
2,prerank,Cholesterol Homeostasis,0.41001911403599,1.3008747163141583,0.11479591836734694,0.7434427653291645,0.741,4/22,3.89%,TNFRSF12A;CLU;FDFT1;ALDOC,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
3,prerank,Inflammatory Response,0.29658303322804386,1.18850284205201,0.17592592592592593,0.9927045336112558,0.905,17/61,17.50%,LAMP3;MYC;CD40;ACVR2A;ACVR1B;IL1R1;ICAM1;C3AR1;IL15RA;SELL;HIF1A;IL10RA;NLRP3;IL2RB;TNFRSF1B;TLR3;OSM,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
4,prerank,Apical Junction,-0.3502807737264878,-1.138645095641216,0.2727272727272727,1.0,0.998,8/38,11.29%,MAP4K2;CTNND1;PTK2;MPZL1;JAM3;SRC;STX4;GNAI2,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
5,prerank,Pperoxisome,-0.40685372606960835,-1.1377406366009624,0.2852512155591572,1.0,0.998,12/20,38.00%,PEX11A;IDE;ABCC5;CAT;ECH1;HSD17B11;FIS1;SMARCC1;ITGB1BP1;MSH2;MVP;TOP2A,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
6,prerank,Apoptosis,0.2873825496499423,1.137351940696161,0.2204968944099379,1.0,0.956,14/65,14.96%,TNFRSF12A;TIMP2;CLU;CASP7;TXNIP;ISG20;LEF1;FEZ1;EGR3;WEE1;APP;CD2;CDC25B;IER3,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
7,prerank,heme Metabolism,-0.379387952016247,-1.1184262601201982,0.3074433656957929,1.0,1.0,8/22,24.01%,TFRC;CAT;ARHGEF12;XPO7;NNT;FBXO7;BLVRA;BNIP3L,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
8,prerank,Estrogen Response Early,0.33280556943296247,1.10654415038988,0.2892561983471074,0.9692548202188641,0.971,7/31,9.12%,MYC;MUC1;FDFT1;MINDY1;MICB;FKBP4;EGR3,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
9,prerank,p53 Pathway,-0.31309361707804606,-1.0991796009259602,0.32633053221288516,1.0,1.0,20/53,31.11%,CDK5R1;ELP1;RAD51C;CCP110;CGRRF1;ZBTB16;CDKN1A;FOS;ABCC5;RB1;JUN;FAS;IRAK1;ADA;COQ8A;IER5;RAD9A;DDIT4;RALGDS;SOCS1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
10,prerank,G2-M Checkpoint,0.2771587818279432,1.06949013111783,0.31974921630094044,0.9835054396954197,0.983,12/55,11.67%,MYC;HMMR;KIF11;CDK1;AURKA;NDC80;NUSAP1;JPT1;MCM2;HIF1A;CKS2;STMN1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
11,prerank,Estrogen Response Late,0.2960118831801993,1.0188172759629683,0.45244956772334294,1.0,0.994,8/34,9.50%,FDFT1;ETFB;BATF;MICB;FKBP4;ISG20;EGR3;UGDH,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
12,prerank,Spermatogenesis,-0.3799567032558842,-0.988417574622124,0.4810126582278481,1.0,1.0,5/15,14.21%,JAM3;EZH2;IDE;BRAF;TOPBP1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
13,prerank,Interferon Gamma Response,0.2353397569375939,0.987741628037802,0.4740484429065744,1.0,0.998,19/79,14.81%,CD40;CASP7;PSME2;MTHFD2;CD274;TXNIP;STAT3;ICAM1;IL15RA;ISG20;IRF5;IRF4;HIF1A;ISG15;IL10RA;PSMB9;UBE2L6;IFITM2;IL2RB,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
14,prerank,Complement,0.2350918181294654,0.9423152075333676,0.5666666666666667,1.0,1.0,12/63,12.64%,TIMP2;CLU;F5;CASP7;APOBEC3G;S100A13;CASP10;CALM3;CEBPB;LIPA;PSMB9;CBLB,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
15,prerank,IL-2/STAT5 Signaling,0.2271852146185162,0.9067017241626821,0.6578171091445427,1.0,1.0,11/62,11.59%,MYC;MUC1;NT5E;BATF;CTLA4;CD79B;IRF4;SELL;PRAF2;PRKCH;IL10RA,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
16,prerank,Epithelial Mesenchymal Transition,-0.289097650272533,-0.9045321341069265,0.6048387096774194,1.0,1.0,5/31,3.96%,COL1A1;LOXL1;MEST;TPM1;THBS1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
17,prerank,Myogenesis,0.30680449905629154,0.902846399676096,0.5971896955503513,1.0,1.0,2/17,1.80%,IGFBP3;CLU,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
18,prerank,Hypoxia,-0.2568770473220753,-0.8992723061779354,0.6303030303030303,1.0,1.0,13/46,24.01%,TGFB3;TIPARP;JMJD6;CDKN1A;FOSL2;DUSP1;FOS;ZFP36;JUN;GAA;PLAUR;NFIL3;BNIP3L,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
19,prerank,Allograft Rejection,0.21003976972353583,0.8887928715713188,0.726643598615917,1.0,1.0,20/87,16.60%,CCR2;CD40;CCR5;ACVR2A;ICAM1;ETS1;IRF4;ITGAL;HIF1A;DYRK3;NLRP3;TRAT1;CD2;CD3E;IL2RB;ITGB2;ITK;IL12RB1;CD28;TLR3,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
20,prerank,Coagulation,0.28701232378395536,0.866672137010681,0.6363636363636364,0.9859514415458732,1.0,3/17,6.43%,CLU;S100A13;ITGA2,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
21,prerank,IL-6/JAK/STAT3 Signaling,0.24275524719916322,0.8620820032466772,0.6978609625668449,0.9323308270676692,1.0,5/36,7.55%,TNFRSF12A;ACVR1B;IL1R1;STAT3;IL15RA,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
22,prerank,KRAS Signaling Up,-0.24327882072236373,-0.8334301560004164,0.7380239520958084,1.0,1.0,5/44,6.96%,FCER1G;ATG10;ENG;LAT2;IRF8,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
23,prerank,Fatty Acid Metabolism,0.26670111310459227,0.8268184815246066,0.7397590361445783,0.9517605895927939,1.0,8/22,17.80%,PCBD1;UGDH;BPHL;NSDHL;UBE2L6;HADH;MIF;LGALS1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
24,prerank,Mitotic Spindle,0.24148444896894547,0.8226189374205493,0.7642045454545454,0.9035693485314918,1.0,7/31,14.58%,KIF11;CDK1;AURKA;NDC80;NUSAP1;EPB41L2;ARHGEF2,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
25,prerank,E2F Targets,-0.22005192286194417,-0.8131748609311221,0.8014492753623188,1.0,1.0,19/70,23.26%,PAICS;UBE2T;RAD51C;CCP110;TFRC;CDKN1A;EZH2;ZW10;MCM4;NCAPD2;MCM5;TIPIN;SUV39H1;MCM3;TIMELESS;MCM6;PSIP1;NASP;TMPO,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
26,prerank,TNF-alpha Signaling via NF-kB,-0.2115006531573725,-0.7994236893707252,0.8438395415472779,1.0,1.0,22/79,27.60%,TLR2;SLC2A6;REL;TIPARP;CDKN1A;FOSL2;DUSP1;FOS;BIRC2;ZFP36;JUN;CSF1;NFKB1;CCL4;PLAUR;NFIL3;DUSP2;SMAD3;IFIH1;NFKB2;IER5;FOSB,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
27,prerank,Unfolded Protein Response,-0.247750937530358,-0.7773490713597525,0.7996918335901386,1.0,1.0,6/29,18.47%,DDX10;FKBP14;ATF6;WFS1;EIF4EBP1;SLC1A4,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
28,prerank,Adipogenesis,-0.2605338338006721,-0.7579246255701025,0.8307692307692308,1.0,1.0,9/23,28.50%,DLD;SLC5A6;DECR1;CAT;ECH1;IFNGR1;VEGFB;DNAJC15;CHUK,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
29,prerank,Myc Targets V1,-0.25051937168444,-0.7423562268604271,0.8359621451104101,1.0,1.0,7/24,22.59%,HDAC2;MCM4;MCM5;PSMD7;MCM6;SLC25A3;TFDP1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
30,prerank,Oxidative Phosphorylation,-0.2443427672247082,-0.7274906485164481,0.8483870967741935,1.0,1.0,11/24,33.13%,DLD;DECR1;ECH1;SUPV3L1;NNT;HSD17B10;SLC25A3;TIMM9;ATP6V0B;OXA1L;CYCS,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
31,prerank,UV Response Dn,0.20546589415290592,0.6934896136949447,0.916010498687664,1.0,1.0,5/28,13.76%,MYC;ACVR2A;RUNX1;DMAC2L;ZMIZ1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
32,prerank,Xenobiotic Metabolism,-0.22291179382882875,-0.6862076519243239,0.9136,1.0,1.0,8/27,22.96%,ABCC2;IRF8;PPARD;CAT;ECH1;FAS;NPC1;SLC35B1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
33,prerank,DNA Repair,-0.20666976111674257,-0.6417636577267565,0.9507692307692308,1.0,1.0,5/30,14.73%,NUDT9;MPC2;POLB;POLR1C;PRIM1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
34,prerank,mTORC1 Signaling,0.15910821727090865,0.6232197661190015,0.9902597402597403,1.0,1.0,9/52,15.78%,MTHFD2;EDEM1;AURKA;MCM2;GLRX;G6PD;ITGB2;MLLT11;CCNF,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
35,prerank,Androgen Response,-0.21751672428165225,-0.5980078233060419,0.9626016260162602,1.0,1.0,3/18,15.26%,RRP12;HMGCR;HMGCS1,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
36,prerank,PI3K/AKT/mTOR  Signaling,-0.1799097612468425,-0.5957767200072147,0.9817905918057663,0.9755362885171165,1.0,3/40,9.20%,NOD1;MAPK8;CDKN1A,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
37,prerank,UV Response Up,0.16469015466418038,0.5806502571819976,0.9895287958115183,0.9833990917888782,1.0,12/35,29.62%,ICAM1;FKBP4;CREG1;SQSTM1;CDK2;POLG2;ABCB1;CLTB;PRKCD;RAB27A;ACAA1;BID,CD4 Central Memory,Baricitinib_vs._Baricitinib phosphate,Hallmark
0,prerank,Mitotic Spindle,0.4823881109396857,1.5821393406810944,0.02159827213822894,0.2905805506379342,0.287,8/31,4.71%,TOP2A;CENPE;AURKA;CENPF;NCK2;KIF23;ARHGEF12;KIF11,CD4 Central Memory,Canertinib_vs._Canertinib dihydrochloride,Hallmark
1,prerank,IL-6/JAK/STAT3 Signaling,0.4494765502785055,1.498549649119806,0.0449438202247191,0.2709236310359563,0.461,11/36,16.75%,TNFRSF12A;TNF;STAT2;IL4R;IL3RA;MYD88;IL18R1;SOCS1;TYK2;FAS;TGFB1,CD4 Central Memory,Canertinib_vs._Canertinib dihydrochloride,Hallmark
2,prerank,G2-M Checkpoint,0.3949976108199308,1.4206820772624942,0.04504504504504504,0.29115031642349876,0.636,20/55,20.27%,CDC7;TOP2A;HMMR;CENPE;AURKA;CENPF;KIF23;KIF11;MAP3K20;ILF3;TENT4A;CDK1;SMARCC1;ATF5;TGFB1;EWSR1;MCM3;PAFAH1B1;NDC80;TACC3,CD4 Central Memory,Canertinib_vs._Canertinib dihydrochloride,Hallmark
3,prerank,UV Response Dn,0.43598669732353856,1.3898610524634907,0.0963302752293578,0.2722056040534766,0.703,12/28,24.16%,ACVR2A;ID1;INPP4B;DMAC2L;DUSP1;RUNX1;TENT4A;AKT3;SMAD7;CDKN1B;MAP2K5;ATP2C1,CD4 Central Memory,Canertinib_vs._Canertinib dihydrochloride,Hallmark
